dataset,split_mode,model,group,auc_mean,auc_std,acc_mean,acc_std,ece_mean,ece_std,brier_mean,brier_std,reliability_mean,reliability_std,resolution_mean,resolution_std
assist2012,temporal,dkt,k10,0.4765584773430042,0.04518518201477956,0.5048647596808717,0.036417995174015595,0.15141657848069812,0.03404163910601664,0.29484285878429256,0.015883752392748945,0.06572483608370464,0.016919275247221376,0.01614226717437828,0.006301101775827583
assist2012,temporal,dkt,k5,0.5131011904761905,0.026408346985401905,0.5174882629107981,0.01999512272739744,0.09169527781027824,0.07154621160389758,0.26362771406666574,0.02715776519553757,0.018170333015355367,0.026969467020859814,0.004827752939190182,0.0022043776356577573
assist2012,temporal,dkt,strict,0.5085074152356858,0.0261423613189222,0.5145700071073206,0.019192397618843095,0.0919090169467483,0.07250892403761172,0.2646643272983494,0.0272786070343406,0.01828509031651474,0.027483083601230505,0.003938701151921036,0.0019862523360310775
assist2012,temporal,dkt,warm,0.6339819835966,0.06616671661264853,0.6789282213321354,0.032260527195417686,0.10334774532184961,0.04089965816539268,0.2205779681164339,0.02317070327407878,0.018885171038340448,0.01684553744180315,0.012551359687717598,0.006148808105762855
assist2012,temporal,simplekt,k10,0.5012900334824224,0.06898875041894828,0.5178050204319906,0.054786231517966126,0.19958969576280852,0.05472260075096286,0.3129571521796037,0.027995043156072517,0.08738267012886312,0.028237415898981443,0.019416446997762456,0.00829995161172461
assist2012,temporal,simplekt,k5,0.5369117063492064,0.08804032095969262,0.5314553990610328,0.061706645593710766,0.1411180782858251,0.08002526318641288,0.2778646529322646,0.03869581804371239,0.03853541948814187,0.034597210031423235,0.010650076145234352,0.005433686317890295
assist2012,temporal,simplekt,strict,0.5315007752689866,0.08953587782755087,0.5280739161336175,0.06209537059674145,0.1416837344829571,0.08072473699070822,0.27936765047955686,0.038773830445592544,0.039086757021547264,0.035133127814158664,0.009737981261685178,0.00490662678649806
assist2012,temporal,simplekt,warm,0.6453347864687456,0.07057817410426463,0.6625310345435075,0.04182794449245103,0.16409899464897876,0.042396704201052245,0.24032103850562112,0.03252125610057743,0.04061915846149658,0.025210155163846563,0.014459760166455846,0.007081065453177223
junyi,learner_based,bkt,warm,0.5,0.0,0.2949003904748873,0.0019942625900016193,0.7050996095251127,0.0019942625900015673,0.7050996095251127,0.0019942625900015673,0.4971681107413182,0.0028146037171023885,0.0,0.0
junyi,learner_based,dkt,warm,0.7319380797746224,0.0010246192513544438,0.7339961041052676,0.001324358096067685,0.03967108231436168,0.0017192020288349474,0.18060417090583075,0.0007192805799505573,0.002303579599929649,0.00017337950792425174,0.029363392514601034,0.00024640800028562394
junyi,learner_based,simplekt,warm,0.7237513677953648,0.0030323963347857045,0.727808117808901,0.0026228158361129485,0.0788347383787402,0.005674305007239413,0.1879561936842973,0.0026654397842422366,0.008250439001720442,0.001728609397742243,0.027999526879795445,0.0007796727765252543
junyi,temporal,bkt,k10,0.5,0.0,0.4796747967479675,0.0,0.5203252032520326,0.0,0.5203252032520326,0.0,0.270738317139269,0.0,0.0,0.0
junyi,temporal,bkt,k5,0.5,0.0,0.4796747967479675,0.0,0.5203252032520326,0.0,0.5203252032520326,0.0,0.270738317139269,0.0,0.0,0.0
junyi,temporal,bkt,strict,0.5,0.0,0.4796747967479675,0.0,0.5203252032520326,0.0,0.5203252032520326,0.0,0.270738317139269,0.0,0.0,0.0
