kc_id,test_events,ECE,dataset,split,fold,train_freq,log_train_freq,n_train_learners,n_train_items,train_correct_rate,difficulty_proxy,median_sequence_position_train
767,12,0.1598562399546305,xes3g5m,learner_based,0,22,3.1354942159291497,20,1,0.9090909090909091,0.09090909090909094,0.9865584935897436
768,11,0.3790988777420188,xes3g5m,learner_based,0,35,3.58351893845611,35,1,0.4,0.6,0.08823529411764706
769,10,0.012906694412231414,xes3g5m,learner_based,0,14,2.70805020110221,14,1,0.9285714285714286,0.0714285714285714,0.9669047127216928
77,5304,0.15629499862698304,xes3g5m,learner_based,0,18625,9.832313733081604,6976,24,0.8176107382550336,0.1823892617449664,0.41950113378684806
770,14,0.39559597202709745,xes3g5m,learner_based,0,44,3.8066624897703196,44,1,0.4772727272727273,0.5227272727272727,0.9948050546143934
771,14,0.07142699450847101,xes3g5m,learner_based,0,44,3.8066624897703196,44,1,1.0,0.0,0.9944127103037114
772,29,2.642272065011342e-06,xes3g5m,learner_based,0,93,4.543294782270004,93,1,0.8602150537634409,0.13978494623655913,0.9618834080717489
773,36,0.3657613819620262,xes3g5m,learner_based,0,122,4.812184355372417,122,2,0.860655737704918,0.139344262295082,0.0457002457002457
774,2,0.5477225929498672,xes3g5m,learner_based,0,9,2.302585092994046,8,2,0.4444444444444444,0.5555555555555556,0.13636363636363635
775,18,0.00015437602996826172,xes3g5m,learner_based,0,46,3.8501476017100584,24,2,0.9565217391304348,0.04347826086956519,0.9429951108183581
776,4,7.450580596923828e-07,xes3g5m,learner_based,0,21,3.091042453358316,19,2,1.0,0.0,0.9638336347197106
777,9,0.5989579390734434,xes3g5m,learner_based,0,21,3.091042453358316,20,1,0.7619047619047619,0.23809523809523814,0.9651972157772621
778,8,0.2602507287627347,xes3g5m,learner_based,0,23,3.1780538303479458,20,1,0.08695652173913043,0.9130434782608696,0.2918454935622318
779,10,0.010832073035521696,xes3g5m,learner_based,0,29,3.4011973816621555,29,2,0.7586206896551724,0.24137931034482762,0.9927797833935018
78,27722,0.08176404922723828,xes3g5m,learner_based,0,97596,11.488602034223852,10302,140,0.812195171933276,0.18780482806672405,0.5214723926380368
780,16,0.3303000368177891,xes3g5m,learner_based,0,63,4.1588830833596715,37,3,0.6984126984126984,0.3015873015873016,0.8777777777777778
781,6,0.4716541829208533,xes3g5m,learner_based,0,40,3.713572066704308,40,1,0.625,0.375,0.9758003562625099
782,2,0.5138561725616455,xes3g5m,learner_based,0,6,1.9459101490553132,6,1,0.5,0.5,0.2717375069346648
783,27,0.074393735856305,xes3g5m,learner_based,0,89,4.499809670330265,89,2,0.9325842696629213,0.0674157303370787,0.9673202614379085
784,4,0.5659142553340644,xes3g5m,learner_based,0,15,2.772588722239781,15,4,0.5333333333333333,0.4666666666666667,0.7651195499296765
785,24,0.041596603093441306,xes3g5m,learner_based,0,75,4.330733340286331,75,3,0.49333333333333335,0.5066666666666666,0.7275862068965517
786,53,0.3100573233759003,xes3g5m,learner_based,0,205,5.327876168789581,130,1,0.526829268292683,0.47317073170731705,0.44565217391304346
787,1,1.7881393431506964e-06,xes3g5m,learner_based,0,11,2.4849066497880004,11,1,1.0,0.0,0.9469964664310954
788,8,8.993661879674875e-07,xes3g5m,learner_based,0,16,2.833213344056216,15,1,1.0,0.0,0.9763179858116566
79,411,0.1731049512445569,xes3g5m,learner_based,0,1245,7.1276936993473985,939,8,0.8240963855421687,0.17590361445783131,0.6936936936936937
796,2,0.14627948403358454,xes3g5m,learner_based,0,9,2.302585092994046,9,1,0.6666666666666666,0.33333333333333337,0.6989898989898989
