dataset,split_mode,model,seed,group,n_kcs,n_events,auc,acc,nll,rmse,ece,brier,reliability,resolution
assist2012,learner_based,dkt,42,warm,255,534144,0.6989300717217294,0.7186283099688473,0.5803411443862481,0.43923503386371227,0.059965807455859256,0.19292741497325644,0.005229249252899313,0.022962998344614374
assist2012,learner_based,simplekt,2024,k5,4,5,1.0,0.8,0.6534700789797374,0.4329479176914331,0.23282900052727198,0.1874438994333479,0.09644962210094604,0.06000000000000001
assist2012,learner_based,simplekt,2024,k10,5,6,1.0,0.8333333333333334,0.6469859925020208,0.4374194226197982,0.27054486338844674,0.19133575128503763,0.1155071868413694,0.05555555555555556
assist2012,learner_based,simplekt,2024,warm,255,534144,0.6827901531046332,0.6997101905104242,0.6901106769974218,0.4600999738307348,0.11577447695978857,0.21169198591904287,0.019977260222804064,0.018967976413825815
assist2012,learner_based,simplekt,2024,k5,3,3,1.0,1.0,0.08460346019337212,0.1257568827598328,0.07532181000957885,0.01581479356147033,0.01581479356147033,0.22222222222222224
assist2012,learner_based,simplekt,2024,k10,4,4,1.0,1.0,0.10241466561111956,0.13064268467136309,0.09256910649128258,0.017067511058141208,0.017067511058141208,0.1875
assist2012,learner_based,simplekt,2024,warm,256,542744,0.6802164054971213,0.6951767315714222,0.6976155829174492,0.4629581545214135,0.12054112775252017,0.21433025283787294,0.02171880738904552,0.018437070479915274
assist2012,learner_based,simplekt,2025,k5,3,3,1.0,1.0,0.05178321900133067,0.07944673797555682,0.048305545778324174,0.0063117841749567825,0.0063117841749567825,0.22222222222222224
assist2012,learner_based,simplekt,2025,k10,4,4,1.0,0.75,0.432012668638669,0.40218681973466436,0.23435815761331466,0.16175423796828342,0.16175423796828342,0.1875
assist2012,learner_based,simplekt,2025,warm,256,542744,0.6818488861944485,0.6981910440281237,0.6968173463437757,0.46185116618287975,0.1178104993844516,0.21330649970448598,0.021073818139548145,0.018785352440815254
assist2012,learner_based,simplekt,2025,strict,1,4,,0.5,0.786903105635586,0.5432790104031872,0.5383344814181328,0.29515208314466634,0.29515208314466634,0.0
assist2012,learner_based,simplekt,2025,k5,4,9,,0.7777777777777778,0.38652303619881123,0.3694875564863362,0.2730412998530987,0.13652105439824347,0.13652105346271493,0.0
assist2012,learner_based,simplekt,2025,k10,5,11,0.30000000000000004,0.7272727272727273,0.5935945046472528,0.44122876081963,0.3221019816344117,0.19468281937442625,0.1337177255207719,0.014462809917355372
assist2012,learner_based,simplekt,2025,warm,255,528670,0.6836535459152875,0.6985567556320578,0.696357828885989,0.4610842314626528,0.11890069715665715,0.2125986685035052,0.021062250788552016,0.019237016511549916
assist2012,learner_based,simplekt,2026,strict,1,4,,0.25,0.707332009319214,0.5070436471372913,0.5064845755696297,0.25709326010228595,0.2565266252899479,0.0
assist2012,learner_based,simplekt,2026,k5,4,9,,0.6666666666666666,0.32600347180883105,0.33956408863649845,0.2361817646105698,0.11530377029153577,0.11505120503492591,0.0
assist2012,learner_based,simplekt,2026,k10,5,11,0.30000000000000004,0.5454545454545454,1.7412256502507673,0.5253286721855156,0.3744201889499576,0.27597021382019693,0.20294155599561917,0.009917355371900827
assist2012,learner_based,simplekt,2026,warm,255,528670,0.6868797433584182,0.7039060283352564,0.7030351426463383,0.45733017029042455,0.10486881371972637,0.2091508846578687,0.017934516901175004,0.019646308962198853
assist2012,learner_based,simplekt,2027,k5,3,6,0.625,0.6666666666666666,1.4091037558015262,0.5511262415869275,0.2863536599822207,0.30374013416573237,0.08919014187350664,0.013888888888888888
assist2012,learner_based,simplekt,2027,k10,4,7,0.5,0.5714285714285714,1.4609656444554955,0.5989743179916402,0.364021797141634,0.35877023361355054,0.17487024022021422,0.025510204081632654
assist2012,learner_based,simplekt,2027,warm,256,515882,0.6855932203522059,0.7023641065204833,0.7093833312794648,0.4583141609235258,0.10582882167224357,0.21005187010303547,0.018333226395810826,0.019394327739071772
assist2012,learner_based,simplekt,42,k5,4,5,1.0,0.8,1.1052420356100652,0.4525736167036566,0.2394155409812811,0.20482287853622827,0.10575593303305098,0.06000000000000001
assist2012,learner_based,simplekt,42,k10,5,6,1.0,0.6666666666666666,1.176812751477815,0.522735010675603,0.33025835180281615,0.27325189138602285,0.19069610346670843,0.05555555555555556
