dataset,split,model,seed,bucket,rel_flag,n_events,ece,brier,unc,rel,res
assist2012,temporal,dkt,2025,medium,R,4558,0.2654482482020391,0.3234241897309728,0.2347430350678813,0.0933771210981015,0.0045109775597772
assist2012,temporal,dkt,2025,sparse,R,3030,0.2641067544002211,0.3163291234372644,0.2340223725342831,0.0944660851237172,0.0115673474364104
assist2012,temporal,dkt,2025,very_sparse,R,2250,0.2065761693839292,0.318615211849596,0.2431662222222222,0.0966470437168813,0.0210223390116129
assist2012,temporal,dkt,2026,dense,R,521661,0.0858155503353566,0.2095690610581619,0.2138490566307713,0.01112166418438,0.0152784684171657
assist2012,temporal,dkt,2026,medium,R,4558,0.2880996473172391,0.3438265798277941,0.2347430350678813,0.1121163164576919,0.003358278273301
assist2012,temporal,dkt,2026,sparse,R,3030,0.3149990086765057,0.3492848392474875,0.2340223725342831,0.123256313887365,0.0077498438217776
assist2012,temporal,dkt,2026,very_sparse,R,2250,0.1670891687556898,0.2974885639096887,0.2431662222222222,0.0674100095989741,0.0125631837748881
assist2012,temporal,dkt,2027,dense,R,521661,0.0839553784124073,0.2088834259337525,0.2138490566307713,0.0105670525584245,0.0154393552688736
assist2012,temporal,dkt,2027,medium,R,4558,0.2553748971529584,0.3222227704148567,0.2347430350678813,0.0924426476988085,0.0045065950775429
assist2012,temporal,dkt,2027,sparse,R,3030,0.3100140024474314,0.3386256021441877,0.2340223725342831,0.1156749922601186,0.0101305764265603
assist2012,temporal,dkt,2027,very_sparse,R,2250,0.1570129109427115,0.3008017564683131,0.2431662222222222,0.0774841095588291,0.0192446948655349
assist2012,temporal,simplekt,42,dense,R,521661,0.1454328430965499,0.225950949424433,0.2138490566307713,0.0297088878651176,0.0174149677922076
assist2012,temporal,simplekt,42,medium,R,4558,0.2277191467671695,0.293775283542238,0.2347430350678813,0.067740009515289,0.0089375583372086
assist2012,temporal,simplekt,42,sparse,R,3030,0.3069117575096916,0.336348681477628,0.2340223725342831,0.1120018261577022,0.0093217812686396
assist2012,temporal,simplekt,42,very_sparse,R,2250,0.2442618571837985,0.3442485687338794,0.2431662222222222,0.1185784873444066,0.0174273642893935
assist2012,temporal,simplekt,2024,dense,R,521661,0.1446584381806794,0.2258521873919795,0.2138490566307713,0.0297571171509086,0.0175923036330945
assist2012,temporal,simplekt,2024,medium,R,4558,0.2346801655852995,0.2973478548232621,0.2347430350678813,0.0705015183364103,0.0078634592709193
assist2012,temporal,simplekt,2024,sparse,R,3030,0.2786681141443453,0.3155454171004703,0.2340223725342831,0.0982387898611184,0.0169345247412647
