dataset,split,model,seed,bucket,rel_flag,n_kcs,n_events,auc,acc,nll
xes3g5m,learner_based,simplekt,2025,sparse,R,122,2061,0.8535672733594555,0.829209121785541,0.6182348977241675
xes3g5m,learner_based,simplekt,2025,very_sparse,L,44,123,0.8793103448275863,0.7886178861788617,0.7076749418059136
xes3g5m,temporal,irt_1pl,42,dense,R,340,1191744,0.6672757735334761,0.7992681314107728,0.474395663239121
xes3g5m,temporal,irt_1pl,42,medium,R,72,129494,0.5607887946269847,0.6227469998609975,0.6488104278066438
xes3g5m,temporal,irt_1pl,42,sparse,R,11,10079,0.6902873819864543,0.8187320170651851,0.472021815391047
xes3g5m,temporal,irt_1pl,42,very_sparse,R,127,259426,0.5162167561642852,0.7689321810458474,0.6284313510274007
xes3g5m,temporal,irt_1pl,2024,dense,R,340,1191744,0.665722174779606,0.7989492709843725,0.4745513719859192
xes3g5m,temporal,irt_1pl,2024,medium,R,72,129494,0.56178966113003,0.6248474832810786,0.6470792543989086
xes3g5m,temporal,irt_1pl,2024,sparse,R,11,10079,0.6904837162930773,0.8178390713364421,0.4722883976620419
xes3g5m,temporal,irt_1pl,2024,very_sparse,R,127,259426,0.5160726987214814,0.768936035709605,0.6284998598735567
junyi,temporal,irt_1pl,42,dense,R,1235,3072767,0.6483312633031195,0.7207383443001047,0.5692200962187166
junyi,temporal,irt_1pl,42,medium,R,78,151597,0.6487373757242716,0.6219318324241245,0.6581524492063996
junyi,temporal,irt_1pl,42,sparse,R,6,16206,0.617259837899646,0.6703072935949649,0.629127885092134
junyi,temporal,irt_1pl,42,very_sparse,R,4,2545,0.5,0.5147347740667977,0.7752246691797081
xes3g5m,temporal,irt_1pl,2025,dense,R,340,1191744,0.6681499326347259,0.8001726880940874,0.4725267629590811
xes3g5m,temporal,irt_1pl,2025,medium,R,72,129494,0.5627990912114439,0.6283843266869508,0.6434108714956794
xes3g5m,temporal,irt_1pl,2025,sparse,R,11,10079,0.6906562971792076,0.8186328008731025,0.4716561241011713
xes3g5m,temporal,irt_1pl,2025,very_sparse,R,127,259426,0.5162446910469223,0.7689784370109395,0.6284037464019403
xes3g5m,temporal,irt_1pl,2026,dense,R,340,1191744,0.6669903810427487,0.7994577694538424,0.474274606466222
xes3g5m,temporal,irt_1pl,2026,medium,R,72,129494,0.5630305912938617,0.6280831544318656,0.643461205558435
xes3g5m,temporal,irt_1pl,2026,sparse,R,11,10079,0.690201050589216,0.8186328008731025,0.4719687569065379
xes3g5m,temporal,irt_1pl,2026,very_sparse,R,127,259426,0.5161753942243423,0.7689283263820897,0.6284404328397728
xes3g5m,temporal,irt_1pl,2027,dense,R,340,1191744,0.6687372917004542,0.7992823962193223,0.4733596612814526
xes3g5m,temporal,irt_1pl,2027,medium,R,72,129494,0.5619485490205675,0.6264151234806246,0.6456547528876746
xes3g5m,temporal,irt_1pl,2027,sparse,R,11,10079,0.6902477383467358,0.8182359361047723,0.471332460522964
xes3g5m,temporal,irt_1pl,2027,very_sparse,R,127,259426,0.5161432798069926,0.7689822916746972,0.6284556101652948
junyi,temporal,irt_1pl,2024,dense,R,1235,3072767,0.6483634711788565,0.7205938491268619,0.5691974067888517
junyi,temporal,irt_1pl,2024,medium,R,78,151597,0.6482558023703417,0.6217867108188156,0.6585811221780246
junyi,temporal,irt_1pl,2024,sparse,R,6,16206,0.6158995467771644,0.6703072935949649,0.6292538521450146
junyi,temporal,irt_1pl,2024,very_sparse,R,4,2545,0.5,0.5147347740667977,0.7752246691797081
junyi,temporal,irt_1pl,2025,dense,R,1235,3072767,0.6484840749572462,0.7207581961144467,0.5692246168188723
junyi,temporal,irt_1pl,2025,medium,R,78,151597,0.6484119482752584,0.6218065001286305,0.6582790800772182
junyi,temporal,irt_1pl,2025,sparse,R,6,16206,0.6178307614989537,0.6698136492657041,0.6292372880222418
junyi,temporal,irt_1pl,2025,very_sparse,R,4,2545,0.5,0.5147347740667977,0.7752246691797081
junyi,temporal,irt_1pl,2026,dense,R,1235,3072767,0.6482849949902453,0.7207985506222893,0.5692289429869064
junyi,temporal,irt_1pl,2026,medium,R,78,151597,0.6484616396229083,0.6224595473525202,0.6582046633438565
junyi,temporal,irt_1pl,2026,sparse,R,6,16206,0.6168694067509264,0.670122176971492,0.6290982640529046
