dataset,split_mode,model,seed,setting,bucket,auc,ece
assist2012,temporal,dkt,2024,Alt_1,sparse,0.6151230659104674,0.33581865778520154
assist2012,temporal,dkt,2024,Alt_1,strict_cold_start,0.4903572972951128,0.04436036546177789
assist2012,temporal,dkt,2024,Alt_1,very_sparse,0.46965020576131683,0.6547867559861724
assist2012,temporal,dkt,2024,Alt_2,dense,0.6646730613021813,0.08100205714644676
assist2012,temporal,dkt,2024,Alt_2,medium,0.6141667186574822,0.1950949388448827
assist2012,temporal,dkt,2024,Alt_2,sparse,0.6036798241124057,0.285749597000068
assist2012,temporal,dkt,2024,Alt_2,strict_cold_start,0.4903572972951128,0.04436036546177789
assist2012,temporal,dkt,2024,Alt_2,very_sparse,0.5973199753488299,0.42397081382496765
assist2012,temporal,dkt,2025,Main,dense,0.6617184519202476,0.08470043263927518
assist2012,temporal,dkt,2025,Main,medium,0.5723364279398762,0.26544824820203916
assist2012,temporal,dkt,2025,Main,sparse,0.6315346822208239,0.2641067544002211
assist2012,temporal,dkt,2025,Main,strict_cold_start,0.47272885253454355,0.09440858345465537
assist2012,temporal,dkt,2025,Main,very_sparse,0.5923822390096635,0.4094642368192513
assist2012,temporal,dkt,2025,Alt_1,dense,0.6615078785985375,0.08498250888285389
assist2012,temporal,dkt,2025,Alt_1,medium,0.5817909979117338,0.2693576963752438
assist2012,temporal,dkt,2025,Alt_1,sparse,0.5979994415033785,0.3306098394399659
assist2012,temporal,dkt,2025,Alt_1,strict_cold_start,0.47272885253454355,0.09440858345465537
assist2012,temporal,dkt,2025,Alt_1,very_sparse,0.4791152263374485,0.5989319765945066
assist2012,temporal,dkt,2025,Alt_2,dense,0.66279045705542,0.08290300924745139
assist2012,temporal,dkt,2025,Alt_2,medium,0.6066423261892953,0.21233053116238315
assist2012,temporal,dkt,2025,Alt_2,sparse,0.5997964051346472,0.25750183226968293
assist2012,temporal,dkt,2025,Alt_2,strict_cold_start,0.47272885253454355,0.09440858345465537
assist2012,temporal,dkt,2025,Alt_2,very_sparse,0.6201333691512728,0.3877374028214794
