dataset,split_mode,model,seed,bucket,n_kcs,n_events,auc,acc,nll,rmse,ece,brier,uncertainty,reliability,resolution
assist2012,temporal,bkt,2026,sparse,27,2184,0.5001310501485234,0.37866300366300365,21.445357249560697,0.7881767108158717,0.6211080586080586,0.6212225274725275,0.23516600920447073,0.3860592878388614,2.76957080469936e-06
assist2012,temporal,bkt,2026,strict_cold_start,27,1128,0.5,0.4875886524822695,17.698060954129765,0.7158291329065405,0.5124113475177305,0.5124113475177305,0.24984595845279411,0.2625653890649364,0.0
assist2012,temporal,bkt,2026,very_sparse,15,600,0.5,0.2916666666666667,24.464966613061733,0.8416254115301723,0.7083333333333334,0.7083333333333334,0.2065972222222222,0.5017361111111112,0.0
assist2012,temporal,bkt,42,dense,145,411293,0.5000128748333938,0.3112209544047674,23.75574778089212,0.8298077428069951,0.6883827344496503,0.6885808900224414,0.21386873717128144,0.4747121618039971,8.952837072534977e-09
assist2012,temporal,bkt,42,medium,29,3519,0.49889402711983355,0.36516055697641375,21.888499643004877,0.7963221797265282,0.6339869281045751,0.6341290139244103,0.23197127177347085,0.40231241941695545,0.00015467726601603538
assist2012,temporal,bkt,42,sparse,27,2184,0.5001310501485234,0.37866300366300365,21.445357249560697,0.7881767108158717,0.6211080586080586,0.6212225274725275,0.23516600920447073,0.3860592878388614,2.76957080469936e-06
assist2012,temporal,bkt,42,strict_cold_start,27,1128,0.5,0.4875886524822695,17.698060954129765,0.7158291329065405,0.5124113475177305,0.5124113475177305,0.24984595845279411,0.2625653890649364,0.0
assist2012,temporal,bkt,42,very_sparse,15,600,0.5,0.2916666666666667,24.464966613061733,0.8416254115301723,0.7083333333333334,0.7083333333333334,0.2065972222222222,0.5017361111111112,0.0
assist2012,temporal,dkt,2024,dense,145,521661,0.6639227233096918,0.6948861425331777,0.6246635306970459,0.4566899225259522,0.08225472590214251,0.2085656853367602,0.21384905663077133,0.01053753505425118,0.015730267275305597
assist2012,temporal,dkt,2024,medium,29,4558,0.5585340357507845,0.5440982887231242,1.1693290751024836,0.5844495330020152,0.29085003810677107,0.34158125662627364,0.23474303506788138,0.11266881053984494,0.005668628387013449
assist2012,temporal,dkt,2024,sparse,28,3030,0.6279415378657839,0.5610561056105611,1.2862774574074778,0.579099380548365,0.29850300863016666,0.3353560925515,0.23402237253428315,0.11242574020879095,0.010803032993834743
assist2012,temporal,dkt,2024,strict_cold_start,27,1407,0.4903572972951128,0.4861407249466951,0.7033887984474868,0.5049426264275261,0.04436036546177789,0.2549670559835282,0.2499847195134087,0.005345170164013178,0.001332686993250653
assist2012,temporal,dkt,2024,very_sparse,16,843,0.5601521897961153,0.4365361803084223,2.161823337028043,0.6708272198246694,0.43082505365347185,0.4500091588576953,0.20415423085095455,0.264086846117428,0.017839780391808013
assist2012,temporal,dkt,2025,dense,145,521661,0.6617184519202476,0.6930612025817533,0.630387306709956,0.45824725432487634,0.08470043263927518,0.2099905460962879,0.21384905663077133,0.011384959890105201,0.015217394253237494
assist2012,temporal,dkt,2025,medium,29,4558,0.5723364279398762,0.5677928916191312,1.1071576918038202,0.5687039561414822,0.26544824820203916,0.32342418973097287,0.23474303506788138,0.09337712109810152,0.004510977559777202
assist2012,temporal,dkt,2025,sparse,28,3030,0.6315346822208239,0.5996699669966997,1.2054055693980459,0.5624314388770105,0.2641067544002211,0.3163291234372644,0.23402237253428315,0.09446608512371724,0.011567347436410459
assist2012,temporal,dkt,2025,strict_cold_start,27,1407,0.47272885253454355,0.5131485429992892,0.7084719760248465,0.5073967249452277,0.09440858345465537,0.25745143648514307,0.2499847195134087,0.01290687984878606,0.005867610965755029
assist2012,temporal,dkt,2025,very_sparse,16,843,0.5923822390096635,0.4424673784104389,1.6030850783671353,0.648613866059275,0.4094642368192513,0.4206999472443591,0.20415423085095455,0.2409877501734349,0.02309815045124421
assist2012,temporal,dkt,2026,dense,145,521661,0.6616380876248228,0.6942554647558472,0.6289517744495441,0.45778713509464414,0.08581555033535668,0.20956906105816198,0.21384905663077133,0.011121664184380006,0.015278468417165736
assist2012,temporal,dkt,2026,medium,29,4558,0.5525729401960929,0.5368582711715665,1.171045628082042,0.586367273837647,0.2880996473172391,0.3438265798277941,0.23474303506788138,0.11211631645769193,0.0033582782733010655
assist2012,temporal,dkt,2026,sparse,28,3030,0.5871737778654861,0.5214521452145214,1.207244534523945,0.5910032480853955,0.31499900867650577,0.34928483924748754,0.23402237253428315,0.12325631388736506,0.007749843821777694
assist2012,temporal,dkt,2026,strict_cold_start,27,1407,0.5058094656908112,0.5046197583511016,0.7014223000072343,0.5039716588946539,0.06840842544990136,0.25398743296902937,0.2499847195134087,0.0069819568516269696,0.0026209268723934756
assist2012,temporal,dkt,2026,very_sparse,16,843,0.5819950097186418,0.4851720047449585,1.3176690691033721,0.6083532315529324,0.35039518321521923,0.37009365434089586,0.20415423085095455,0.1856387267960087,0.018470348794777398
assist2012,temporal,dkt,2027,dense,145,521661,0.6620968325174186,0.6948784747182557,0.6265861433118565,0.45703766358337744,0.08395537841240736,0.2088834259337525,0.21384905663077133,0.010567052558424583,0.01543935526887364
assist2012,temporal,dkt,2027,medium,29,4558,0.5684337214509629,0.5666959192628346,1.084225109580624,0.5676466950620401,0.25537489715295847,0.32222277041485675,0.23474303506788138,0.09244264769880854,0.004506595077542949
assist2012,temporal,dkt,2027,sparse,28,3030,0.6241361559685292,0.5613861386138614,1.324463062242995,0.5819154596195119,0.3100140024474314,0.33862560214418774,0.23402237253428315,0.11567499226011861,0.010130576426560328
assist2012,temporal,dkt,2027,strict_cold_start,27,1407,0.5406905080403005,0.5422885572139303,0.6914995737224017,0.4991823408035126,0.049062298050821476,0.2491830093700742,0.2499847195134087,0.005805769379916964,0.0059980832962620995
assist2012,temporal,dkt,2027,very_sparse,16,843,0.6141078838174274,0.4875444839857651,1.6744581783515116,0.6220574459308172,0.36581386802657,0.38695546603797165,0.20415423085095455,0.20476461752795974,0.021274670838758915
assist2012,temporal,dkt,42,dense,145,521661,0.4988743914508113,0.6136686468798702,0.8085608496444173,0.5172071109207453,0.18661489159529304,0.2675031955869842,0.21384905663077133,0.05328326735206029,5.162761750174101e-06
assist2012,temporal,dkt,42,medium,29,4558,0.5043113700749169,0.573058358929355,0.8694643947661669,0.5380237240871509,0.19898876896532125,0.28946952768060674,0.23474303506788138,0.0550838283443452,0.0007484746981650589
assist2012,temporal,dkt,42,sparse,28,3030,0.5061257991488157,0.5805280528052805,0.8986219828610214,0.5410730029578251,0.20957215954344327,0.2927599945297987,0.23402237253428315,0.059332663641663994,0.0007155595158088064
assist2012,temporal,dkt,42,strict_cold_start,27,1407,0.5359903977109695,0.527363184079602,0.9580926158481898,0.5657400151194387,0.23543631192621192,0.32006176470734277,0.2499847195134087,0.07405215710886219,0.005178126360857582
assist2012,temporal,dkt,42,very_sparse,16,843,0.5037737279607394,0.6263345195729537,0.8185477791492344,0.5148269050216133,0.18793131544076297,0.26504674213413326,0.20415423085095455,0.06376009990969252,0.002945460774766445
assist2012,temporal,dkt,42,dense,145,521661,0.6619193965278228,0.6942458799871948,0.6256443802774595,0.45695015169896824,0.08115533748770612,0.2088034411377101,0.21384905663077133,0.010419636561347674,0.015375568544869994
assist2012,temporal,dkt,42,medium,29,4558,0.5637103044738513,0.5432207108380869,1.1555974911980698,0.5818080763099087,0.27957048266024637,0.3385006376594366,0.23474303506788138,0.10677576019369125,0.0036079372064627777
assist2012,temporal,dkt,42,sparse,28,3030,0.6244382221196201,0.5742574257425742,1.3583734258826832,0.5858782533133411,0.31493203225933997,0.34325332770549144,0.23402237253428315,0.12282178596741992,0.012683719546132668
assist2012,temporal,dkt,42,strict_cold_start,27,1407,0.5054679701423773,0.5138592750533049,0.6979439134749758,0.5023298361385461,0.05977811733712182,0.2523352642749786,0.2499847195134087,0.0046186085458830755,0.0026347724230073766
assist2012,temporal,dkt,42,very_sparse,16,843,0.5970761362539805,0.4863582443653618,1.6419237261977808,0.6298694951396805,0.35526324769709555,0.39673558090751604,0.20415423085095455,0.21000887817517844,0.016211044574454436
