dataset,split_mode,model,seed,bucket,bin_id,n_bin,conf_bin,acc_bin,gap_bin
junyi,learner_based,simplekt,42,medium,13,411,0.9004295948358058,0.7420924574209246,0.1583371374148812
junyi,learner_based,simplekt,42,medium,14,540,0.972184313999282,0.8611111111111112,0.1110732028881708
junyi,temporal,bkt,42,dense,0,2703313,0.0,0.7072218422358048,0.7072218422358048
junyi,temporal,bkt,42,dense,1,0,,,
junyi,temporal,bkt,42,dense,2,0,,,
junyi,temporal,bkt,42,dense,3,0,,,
junyi,temporal,bkt,42,dense,4,0,,,
junyi,temporal,bkt,42,dense,5,0,,,
junyi,temporal,bkt,42,dense,6,0,,,
junyi,temporal,bkt,42,dense,7,2464,0.5,0.7256493506493507,0.22564935064935066
junyi,temporal,bkt,42,dense,8,0,,,
junyi,temporal,bkt,42,dense,9,0,,,
junyi,temporal,bkt,42,dense,10,0,,,
junyi,temporal,bkt,42,dense,11,0,,,
junyi,temporal,bkt,42,dense,12,0,,,
junyi,temporal,bkt,42,dense,13,0,,,
junyi,temporal,bkt,42,dense,14,0,,,
junyi,temporal,bkt,42,medium,0,133660,0.0,0.544747867724076,0.544747867724076
junyi,temporal,bkt,42,medium,1,0,,,
junyi,temporal,bkt,42,medium,2,0,,,
junyi,temporal,bkt,42,medium,3,0,,,
junyi,temporal,bkt,42,medium,4,0,,,
junyi,temporal,bkt,42,medium,5,0,,,
junyi,temporal,bkt,42,medium,6,0,,,
junyi,temporal,bkt,42,medium,7,67,0.5,0.6865671641791045,0.18656716417910446
junyi,temporal,bkt,42,medium,8,0,,,
junyi,temporal,bkt,42,medium,9,0,,,
junyi,temporal,bkt,42,medium,10,0,,,
junyi,temporal,bkt,42,medium,11,0,,,
junyi,temporal,bkt,42,medium,12,0,,,
junyi,temporal,bkt,42,medium,13,0,,,
junyi,temporal,bkt,42,medium,14,0,,,
junyi,temporal,bkt,42,sparse,0,14182,0.0,0.6403187138626428,0.6403187138626428
junyi,temporal,bkt,42,sparse,1,0,,,
junyi,temporal,bkt,42,sparse,2,0,,,
junyi,temporal,bkt,42,sparse,3,0,,,
junyi,temporal,bkt,42,sparse,4,0,,,
junyi,temporal,bkt,42,sparse,5,0,,,
