dataset,split,fold,kc_id,test_events,ECE,log1p_f_train,difficulty_proxy,item_support,learner_exposure,curriculum_position_proxy
junyi,learner_based,0,cINypIteJpgvnBnuBcPhQ0QhSdf0LxpMPHuxN3Ibuyw=,3442,0.0748496567067419,9.448569560708432,0.2618015604066515,16.0,1344.0,0.3967391304347826
junyi,learner_based,0,cNDFZsIE6ShplieFXQVimwas6pEjjQ6TXTMZSV/ROT8=,1556,0.1107106203318676,8.5956346177228,0.3046051414832624,15.0,701.0,0.5658682634730539
junyi,learner_based,0,cWGivrZDSwN5LiL2G27HYCmyOuUeAhMIchLIraXiV8Q=,2260,0.0940109346078428,9.06681636189014,0.1744400831216809,16.0,1331.0,0.3865422965757678
junyi,learner_based,0,cYcQzu2bjsSMNeaAw4lWpDUGdH8SsNow/a+k3vVor3E=,544,0.1022457902196466,7.750614732770409,0.4151593453919036,6.0,233.0,0.5160914581535807
junyi,learner_based,0,cYgMGBbf7LdGQPgpluIyEfy/nofh1pO0STOjHrLThpc=,2692,0.0876676172701666,9.122928914965213,0.3954376773630211,18.0,1001.0,0.5358312467916146
junyi,learner_based,0,cdFXA6IT4q2KUZxKXFD21+IYBmdKr9+64dIZOPfosfI=,2099,0.0829584212649148,8.796338932845732,0.2160689968225148,17.0,953.0,0.6330049261083743
junyi,learner_based,0,ceoIhM1kD63Q6PhxJlFTGX+RwSnXuJ3WTOTYhESoQ1k=,372,0.0946198264437337,6.993932975223189,0.4003673094582185,16.0,154.0,0.6653696498054474
junyi,learner_based,0,clP2+ai8jg0m7J92YX2RrRzXyBa4jLyja5WruzDuOZ0=,3605,0.1077710373133379,9.405578154036684,0.3422459893048128,34.0,1150.0,0.38
junyi,learner_based,0,cqTW0IXOg+J6y+Yk63csOn2IHYY4+Nqos2a87VHy6SI=,3388,0.0900538920368801,9.311722986264783,0.3696005783480932,16.0,1006.0,0.3381526627990353
junyi,learner_based,0,csvTOQUIhu2MK2FXPlq40vS4Zt3CTRXxG7dBI/MqOck=,854,0.1280110615896676,7.830425617820331,0.4019880715705766,28.0,311.0,0.2950819672131147
junyi,learner_based,0,culKseV+Zke/kfH2elK1UcG13PktwOLaw0bde5RD89Y=,2082,0.0961096562359278,8.820551743253025,0.229951262738148,22.0,887.0,0.4892395982783357
junyi,learner_based,0,cv9POISG2CRsF6NgWLZALS9+KTAB25ASQhvveqRLYtM=,1969,0.062244841393789,8.661120360222881,0.3618569201455049,33.0,584.0,0.5338289962825279
junyi,learner_based,0,cvjFCVBHPMRGgHN646n278rct/tKIPgmtYIu9XsyGe0=,4907,0.1010025712445648,9.696586376767783,0.4302933398929955,27.0,1347.0,0.4524838012958963
junyi,learner_based,0,cvnGl+iUiKphfjbPcE0G7/HRE/Q51L3w0x0WhVLy1cs=,6599,0.073699161586463,10.154479706670076,0.1065551449134409,18.0,2847.0,0.3739130434782609
junyi,learner_based,0,cvrpe2HqRWypDZTWd3ry5QCy4XdRg67y3MIeZlRYaes=,3468,0.0741720425293726,9.492356422801336,0.3144753715018481,19.0,1319.0,0.5818639798488665
junyi,learner_based,0,czwYNtatxXTkGd58zAmjHhwFS0+fjoCGpWJdrG2FPJ0=,436,0.109744649995631,7.660585461703256,0.358152686145146,27.0,203.0,0.8663648445362742
junyi,learner_based,0,d0epea1fc69jCEDP+o1Ko8TO9UcNtQ4nH4RpOz+toyc=,2341,0.0898840241120242,8.936824154997302,0.4209834341309493,26.0,721.0,0.3070866141732283
junyi,learner_based,0,d78kpes0fgN20aS/f8XWcwktKDL/e+vtWguyMOrdHbw=,161,0.1181001187018726,6.09807428216624,0.5427927927927928,20.0,49.0,0.6865986808600495
junyi,learner_based,0,d7EhDMIrDeTrwHOcqUhYpiwc4yQMwmZ/8RjcPpojXzc=,4091,0.0919106976654762,9.54072267395999,0.360859565904844,16.0,1228.0,0.3919136878814298
junyi,learner_based,0,d96gb3CJNJAs06rSg/7oI0q50Y7vxIOB8A4ubdHQADU=,3418,0.1113672878979032,9.198166571044474,0.3282040898967402,44.0,969.0,0.4048030977096721
junyi,learner_based,0,dAipsKstQKUN4VipBEuqm9rBlREJoKyays23NuZ4B/A=,1866,0.1000442385557731,8.927844826211702,0.4599363226319979,20.0,643.0,0.2894535342951559
junyi,learner_based,0,dEdTB/d9fVuyj1/b7hO9H4lL6XcWJW155+5nwHCyE7w=,1165,0.0806823495695519,8.315321775377567,0.3850673194614443,19.0,375.0,0.6911764705882353
junyi,learner_based,0,dGA1T79oC75XYzF8EiB4E1U7CLpCVSbLgAFnglV2nBE=,2450,0.0890738261369418,8.98054977794018,0.320286936823559,16.0,884.0,0.632571362962882
junyi,learner_based,0,dIoqlJEhZ/uEUpnudTQ+Ve8Uw1oiqSMobNqXb2YQfcs=,4948,0.116934871653783,9.646787217693076,0.2784564669381423,16.0,1875.0,0.3817405232247731
junyi,learner_based,0,dL+vpyv8mp2L14ZNIt1k9tpwdFydZoov6EvnXSW4Dt4=,1904,0.079636066808647,8.913550280493675,0.4144798815771767,31.0,752.0,0.5361663652802894
junyi,learner_based,0,dLeQgciAmkIfymykUY3PBW2cDqWQVx64R7tMT+FpJP0=,2271,0.1238946162536576,8.922391597295857,0.324796585300787,25.0,1014.0,0.3172804532577903
junyi,learner_based,0,dU4LbugoGp4U2bvHZqTvZ0EcB6yr4pC96uqyprkEapY=,2562,0.0682869774349772,9.068776807654396,0.1079617467450166,16.0,1184.0,0.4357366771159874
junyi,learner_based,0,dU4bHGG5iITHkO+/yRQ8EBgimx3ScCs8/Ibrz7QE52c=,1535,0.0601903489557268,8.46884293047519,0.2744068864161243,16.0,594.0,0.6666666666666666
junyi,learner_based,0,dVKfHzCsi1dOBhd343bsUNF4dowsiANnvRBkWqToitg=,10041,0.0448624823031322,10.451608961045816,0.0719963004711118,15.0,3610.0,0.5176151761517616
junyi,learner_based,0,dXvYZmfaKMbF66x3mpE4pJ0jkJN4QiDScmpt91rwZ24=,575,0.0886709196023319,7.672292455628756,0.5542617605961807,11.0,195.0,0.5696051057040287
junyi,learner_based,0,daGwNLwnh35rFVqjg4maa1tVsx+wdDt7V9HggGCDZXI=,2522,0.1060303259444475,9.079092085366227,0.4203443950279393,18.0,937.0,0.76
junyi,learner_based,0,dbfungJHCNq5u7rIZjs2wCd9hgFrRs2MXbTqu1obyVY=,3320,0.0853015559444944,9.376193736062833,0.1652122341777514,16.0,1488.0,0.49800796812749
